,OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,PropertyName,Neighborhood,NumberofBuildings,NumberofFloors,PropertyGFATotal,LargestPropertyUseType,YearsENERGYSTARCertified,ENERGYSTARScore,SiteEnergyUse(kBtu),GHGEmissions(MetricTonsCO2e),Outlier,Latitude,Longitude,Address,City,State,ZipCode,AgeofBuilding,MeanBuildingGFA,MeanFloorGFA,BuildingGFApct,ParkingGFApct
2738,26695,2015,NonResidential,Worship Facility,The Church In Seattle,Northwest,1.0,2.0,27500,Worship Facility,,70.0,513888.0,13.15,, 47.67790172, -122.3255884, 6900 Woodlawn Ave Ne, Seattle, WA,98115,37,27500.0,13750.0,1.0,0.0
2706,26695,2016,NonResidential,Worship Facility,Church In Seattle,Northwest,1.0,2.0,27500,Worship Facility,,60.0,577123.125,14.79,,47.67783,-122.32577,6900 Woodlawn Ave. Ne,Seattle,WA,98115,38,27500.0,13750.0,1.0,0.0
2739,26705,2015,NonResidential,Small- and Mid-Sized Office,Greybar Building,Downtown,1.0,2.0,36630,Office,,91.0,527803.0,3.68,Low Outlier, 47.59855032, -122.3324906, 416 Occidental Ave S, Seattle, WA,98104,85,36630.0,18315.0,1.0,0.0
2707,26705,2016,NonResidential,Small- and Mid-Sized Office,Graybar Building,Downtown,1.0,2.0,36630,Office,,90.0,541943.3125,3.78,,47.59856,-122.33248,416 Occidental Ave S,Seattle,WA,98104,86,36630.0,18315.0,1.0,0.0
2740,26706,2015,NonResidential,Small- and Mid-Sized Office,Moses Building,Downtown,1.0,3.0,26830,Office,,,2198421.0,56.86,, 47.59945724, -122.3311734, 312 2Nd Ave S, Seattle, WA,98104,115,26830.0,8943.333333333334,1.0,0.0
2708,26706,2016,NonResidential,Small- and Mid-Sized Office,Moses Building,Downtown,1.0,3.0,26830,Office,,,2099386.75,60.93,,47.59954,-122.33115,316 2Nd Ave S,Seattle,WA,98104,116,26830.0,8943.333333333334,1.0,0.0
2741,26708,2015,NonResidential,Small- and Mid-Sized Office,Mottman Building,Downtown,1.0,5.0,41920,Office,,92.0,1243282.0,8.67,, 47.59970093, -122.33065033, 307 3Rd Ave S, Seattle, WA,98104,109,41920.0,8384.0,1.0,0.0
2709,26708,2016,NonResidential,Small- and Mid-Sized Office,Mottman Building,Downtown,1.0,5.0,41920,Office,,95.0,1103594.75,7.69,,47.59971,-122.33065,307 3Rd Ave South,Seattle,WA,98104,110,41920.0,8384.0,1.0,0.0
2742,26710,2015,NonResidential,Small- and Mid-Sized Office,Masins Building - Impact Hub,Downtown,1.0,5.0,36879,Office,,99.0,763065.0,20.94,, 47.60038519, -122.3312106, 220 2Nd Ave S, Seattle, WA,98104,110,36879.0,7375.8,1.0,0.0
2710,26710,2016,NonResidential,Small- and Mid-Sized Office,Masin Building 1,Downtown,1.0,5.0,36879,Office,,92.0,1537570.25,26.94,,47.60048,-122.33157,220 Second Avenue South,Seattle,WA,98104,111,36879.0,7375.8,1.0,0.0
2743,26711,2015,NonResidential,Other,Ace Hotel  (Union Gospel Mission Building),Downtown,1.0,6.0,29820,Other - Lodging/Residential,,,1620721.0,37.79,, 47.600547, -122.330551, 318 2Nd Av Et S, Seattle, WA,98104,111,29820.0,4970.0,1.0,0.0
